nome,alter_ego,universo,poder_principal,forca,inteligencia,velocidade,equipe,ativo
Superman,Clark Kent,DC,Superforça e voo,150,90,95,Liga da Justiça,True
Batman,Bruce Wayne,DC,Inteligência e gadgets,60,99,70,Liga da Justiça,True
Mulher Maravilha,Diana Prince,DC,Combate e força divina,120,88,85,Liga da Justiça,True
Flash,Barry Allen,DC,Super velocidade,55,85,200,Liga da Justiça,True
Aquaman,Arthur Curry,DC,Controle dos mares,110,80,88,Liga da Justiça,True
Lanterna Verde,Hal Jordan,DC,Anel do poder,75,88,95,Liga da Justiça,True
Shazam,Billy Batson,DC,Poderes mágicos e força,130,80,90,Liga da Justiça,True
Ciborgue,Victor Stone,DC,Interface tecnológica,85,92,75,Liga da Justiça,True
Coringa,Desconhecido,DC,Caos e imprevisibilidade,55,88,60,Vilões,True
Lex Luthor,Lex Luthor,DC,Inteligência e tecnologia,50,99,55,Vilões,True
Caçadora,Helena Bertinelli,DC,Combate e precisão,68,78,72,Aves de Rapina,True
Canário Negro,Dinah Lance,DC,Grito sônico,65,80,75,Aves de Rapina,True
Arqueiro Verde,Oliver Queen,DC,Precisão com arco,65,78,68,Liga da Justiça,True
Martian Manhunter,J'onn J'onzz,DC,Telepatia e forma variável,115,95,88,Liga da Justiça,True
Zatanna,Zatanna Zatara,DC,Magia,60,90,70,Liga da Justiça,True
